Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ґоляш,Владислав,Сергійович,male,1941-07-08,Мікробіолог,село Щолкіне,"парк Деревообробний 4-й, буд. 299 кв. 08, Монастирище, 14373",+380 29 762-87-31,sliusarteodor@example.org
Василенко,Михайлина,Леонідівна,female,1950-02-26,Музичний редактор,хутір Інкерман,"узвіз Олександра Тимошенка, буд. 52, Тростянець, 12489",012 239 35 48,svatamaniuk@example.net
Гриценко,Давид,Сергійович,male,1982-12-20,Парфюмер,село Південне,"узвіз Місячна, буд. 3, Жашків, 43549",+380 (46) 798-32-51,varvara65@example.com
Юхименко,Віра,Ігорівна,female,1948-05-12,Хореограф,місто Тернопіль,"вулиця 411-ї батареї, буд. 9, Свалява, 06721",377 90 21,snizhanaizhak@example.org
Давиденко,Володимира,Леонідівна,female,1988-09-14,Адвокат,селище Старобільськ,"сквер Килимова, буд. 04, Снятин, 16938",008 537-81-27,nesterenkopanas@example.org
Якименко,Алла,Олександрівна,female,1971-08-06,Патологоанатом,місто Кам'янець-Подільський,"площа Іванівська, буд. 198, Тисмениця, 26827",+380 25 397 39 59,banduraiarema@example.com
Дуплій,Віталій,Борисович,male,1951-09-22,Співак,село Глобине,"шосе Лодочний, буд. 77 кв. 50, Новодністровськ, 29719",+380 89 914-26-43,maksymkolisnychenko@example.org
Баран,Ірена,Геннадіївна,female,1978-09-06,Музичний редактор,селище Деражня,"парк Маланова, буд. 7, Вознесенівка, 06631",+380 05 207 88 75,vashchenkomykhailyna@example.org
Павленко,Спас,Тарасович,male,2001-08-20,Економіст,село Косів,"проспект Теплична, буд. 801 кв. 946, Володимир-Волинський, 05224",096 670-05-94,kybkaloles@example.net
Овсієнко,Августин,Ярославович,male,1975-07-02,Кінорежисер,хутір Снятин,"проспект Матеріальний 1-й, буд. 6 кв. 30, Південне, 53637",615-36-59,abazylevych@example.org
Байдак,Кирило,Борисович,male,1972-11-19,Каскадер,хутір Баштанка,"шосе Кипарисний 2-й, буд. 708 кв. 56, Болехів, 93949",050 348-67-55,kostiantyn39@example.net
Ребрик,Устим,Ульянович,male,1979-08-09,Модель,хутір Козятин,"шосе Всеволода Змієнка, буд. 51 кв. 25, Яремче, 72165",002 438-82-49,andriichukorysia@example.net
Негода,Венедикт,Борисович,male,1996-09-17,Агроном,селище Сколе,"шосе Мирослава Скорика, буд. 27, Хирів, 61830",+380 (40) 164-98-19,semen13@example.org
Дараган,Альберт,Ярославович,male,1967-10-23,Конструктор,селище Голубівка,"сквер Професора Каришковського, буд. 69, Конотоп, 47573",057 114 11 58,tsybulenkoalbert@example.org
Устенко,Антон,Олександрович,male,1958-11-16,Намотувальник,місто Теплодар,"шосе Незалежності, буд. 432 кв. 7, Карлівка, 06816",470 34 80,dan40@example.net
Слюсар,Емілія,Дмитрівна,female,2003-03-12,Музичний редактор,місто Гірник,"узвіз Амундсена, 1-й, буд. 7, Заставна, 48716",+380 20 392-33-72,tbabychenko@example.net
Корпанюк,Аврелій,Тарасович,male,1942-04-10,Клавішник,хутір Бершадь,"шосе Спортивна, буд. 2 кв. 72, Феодосія, 25456",+380 69 522-55-33,makar06@example.net
Гавриленко,Ярема,Тарасович,male,1975-01-23,Будник,місто Остер,"вулиця Коцюбинського, буд. 255 кв. 49, Хирів, 39746",+380 (02) 662-82-28,paliimarta@example.com
Тягнибок,Амалія,Ульянівна,female,1986-09-02,Геофізик,місто Синельникове,"шосе Соборна, буд. 3, Овруч, 14006",+380 17 313-82-64,valentyna85@example.com
Гаврилець,Климент,Артемович,male,1979-09-10,Електрослюсар,місто Лохвиця,"набережна Горбатий міст, буд. 0, Севастополь, 01000",614 02 78,paleksiuk@example.org
Дубенко,Геннадій,Олександрович,male,1994-06-02,Стоматолог,хутір Вільнянськ,"набережна Штурманська, буд. 84 кв. 676, Болехів, 69492",089 057-92-26,mykyta44@example.net
Акименко,Лариса,Леонідівна,female,2009-01-03,Математик,селище Яготин,"парк Суднобудівна, буд. 0 кв. 6, Ходорів, 95792",+380 (53) 464-97-14,zasiadkoliubov@example.org
Лемешко,Віталій,Ульянович,male,1946-10-25,Лікар,хутір Кам'янка (Черкаська область),"провулок Нафтовиків 2-й, буд. 3 кв. 61, Гола Пристань, 02251",+380 (25) 856-55-20,omelian01@example.org
Бебешко,Христина,Дмитрівна,female,1942-10-14,Палеонтолог,місто Нововолинськ,"шосе Регенсбург, буд. 723 кв. 7, Сколе, 52638",+380 (02) 849-86-21,banderaievhen@example.net
Андрійович,Омелян,Борисович,male,1997-09-08,Публіцист,село Монастириська,"узвіз Пересипська 8-ма, буд. 82, Переяслав, 81441",+380 47 907-14-31,demian21@example.net
Жук,Варфоломій,Ульянович,male,1940-06-17,Менеджер,селище Тетіїв,"провулок Степна, буд. 830 кв. 54, Сватове, 77181",+380 (75) 871-46-65,iefremmakarenko@example.org
Супруненко,Теодор,Сергійович,male,1963-04-18,Детектив,хутір Городище,"набережна Студена, буд. 9 кв. 33, Умань, 41429",+380 57 347-10-01,bandroshchuk@example.org
Давимука,Дарина,Федорівна,female,1997-01-12,Реставратор,місто Моспине,"сквер Кільовий, буд. 248 кв. 62, Миронівка, 17722",054 799-26-95,marko44@example.org
Сіробаба,Вадим,Зіновійович,male,1974-05-24,Редактор,селище Галич,"шосе Травневий, буд. 42, Прилуки, 60097",048 892-88-53,havryletsostap@example.net
Тригуб,Лілія,Федорівна,female,1958-02-13,Мовознавець,село Чорноморськ,"проспект Вінницька, буд. 533 кв. 83, Лохвиця, 93759",+380 (92) 412-06-62,oshvedchenko@example.net
Михайлюк,Єва,Борисівна,female,1952-08-20,Хімік,село Шостка,"сквер Івахненка Петра, буд. 726 кв. 419, Бунге, 10704",+380 79 221 85 19,aleksiichukorysia@example.org
Базилевський,Альберт,Миколайович,male,2006-09-10,Мистецтвознавець,місто Нове Давидково,"площа Бориса Нечерди, буд. 12, Рівне, 28110",020 81 85,zhadanroksolana@example.com
Зінченко,Гордій,Геннадійович,male,1957-02-26,Антрополог,селище Зміїв,"вулиця Василя Берладяну, буд. 07, Харків, 32189",096 142-70-44,eduard09@example.com
Батюк,Онисим,Дмитрович,male,1985-01-26,Маркетолог,село Старий Крим,"сквер Десятого квітня, буд. 67 кв. 253, Батурин, 56771",046 518 80 73,bandurakostiantyn@example.org
Габелко,Роксолана,Олександрівна,female,1939-12-11,Мистецтвознавець,селище Новоукраїнка,"шосе Адміральський, буд. 972 кв. 80, Комарно, 13583",+380 (24) 224-30-29,panteleimon78@example.net
Андрієвич,Станіслав,Євгенович,male,1965-08-17,Дерун,хутір Сквира,"провулок Рєпіна, буд. 229 кв. 77, Ківерці, 94697",+380 00 166-91-39,maksymoliinyk@example.com
Худобʼяк,Богданна,Петрівна,female,2002-02-26,М'ясник,хутір Сквира,"набережна Лінія 30-та, буд. 12 кв. 540, Волочиськ, 30142",032 166-81-73,fzinchuk@example.net
Ващенко-Захарченко,Франц,Леонідович,male,1950-02-06,Кінорежисер,селище Шепетівка,"площа 2-га Лінія Марії Демченко, буд. 97, Батурин, 98842",562 59 10,iakovenkooksana@example.org
Аронець,Ігнат,Володимирович,male,1990-07-26,Каскадер,місто Новоазовськ,"парк Ветеранів праці, буд. 44 кв. 35, Ківерці, 59195",098 96 27,iefrem03@example.org
Фоменко,Богуслав,Анатолійович,male,1986-07-08,Льотчик,село Херсон,"набережна 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 39, Гола Пристань, 56411",058 218-73-79,hrytsenkoihor@example.org
Бандурка,Станіслав,Васильович,male,1967-02-26,Музикознавець,місто Сновськ,"шосе Туристська, буд. 283 кв. 781, Бердянськ, 08591",+380 89 311-74-81,khrystynaartymovych@example.net
Ільєнко,Лесь,Олександрович,male,1954-05-23,Сценарист,селище Корсунь-Шевченківський,"провулок Куниці, буд. 4, Вашківці, 38055",050 469-78-81,mbairak@example.net
Гаврюшенко,Віра,Ярославівна,female,1955-04-26,Письменник,хутір Олевськ,"площа Довженка, буд. 509 кв. 06, Шумськ, 24574",+380 47 352-42-30,illiareva@example.com
Ґерета,Борис,Русланович,male,1992-10-08,Музикант,селище Хуст,"провулок Красний, буд. 646, Сколе, 28164",098 15 02,oleksa19@example.com
Охримович,Ярема,Тарасович,male,1984-04-27,Пекар,селище Старобільськ,"площа Учнівська, буд. 22, Малин, 51214",+380 (09) 151-58-18,skorykspas@example.org
Батюк,Валентина,Дмитрівна,female,1942-02-24,Модель,хутір Городенка,"провулок Університетський, буд. 56 кв. 488, Судова Вишня, 64341",+380 00 284-49-36,bairakkamilla@example.net
Вдовиченко,Євген,Ульянович,male,1951-07-02,Дантист,місто Олександрія,"сквер Овідіопольська дуга, буд. 461 кв. 972, Очаків, 81742",062 979 01 12,liliiavasylechko@example.net
Рябченко,Марко,Ульянович,male,1991-01-07,Євнух,селище Заводське,"парк Стамбульський, буд. 9 кв. 202, Гайворон, 27758",074 92 70,protsenkoherman@example.com
Іваненко,Орися,Артемівна,female,1942-03-21,Бібліотекар,хутір Хоростків,"сквер Танкерна, буд. 92 кв. 9, Енергодар, 90536",035 348-53-42,iudovenko@example.net
Мазепа,Дарина,Федорівна,female,1985-03-17,Економіст,селище Саки,"набережна Сергія Ейзенштейна, буд. 63, Скалат, 68440",127-69-01,edyta53@example.com
Андрейко,Гордій,Володимирович,male,2009-10-17,Хімік,село Надвірна,"узвіз Мелітопольська, буд. 66 кв. 318, Феодосія, 82963",+380 14 307 29 43,dannadotsenko@example.com
Журба,Ігор,Тарасович,male,1943-04-14,Намотувальник,хутір Старий Самбір,"сквер Церковна, буд. 326 кв. 7, Подільськ, 51368",021 536 09 68,tetiana97@example.org
Чубай,Климент,Євгенович,male,1948-05-12,Епідеміолог,селище Євпаторія,"проспект Картамишевський, буд. 3 кв. 244, Ківерці, 50865",+380 (88) 684-88-22,uivasiuk@example.org
Ірванець,Ярослав,Ярославович,male,2002-03-02,Медик,хутір Ізмаїл,"узвіз Офіцерський 1-й, буд. 277 кв. 25, Люботин, 14320",+380 59 168-96-74,opanasenkomakar@example.com
Медведенко,Яків,Артемович,male,1951-06-19,Медик,місто Горішні Плавні,"вулиця Прохоровська, буд. 433 кв. 27, Нікополь, 51792",314 06 90,mperepelytsia@example.org
Корсун,Клавдія,Ульянівна,female,1971-05-22,Провізор,село Новоселиця,"вулиця Шота Руставелі, буд. 11, Гірник, 54434",516-74-36,iashchenkoanastasiia@example.com
Фесенко,Алла,Зіновіївна,female,1994-08-04,Доцент,село Покров,"узвіз Лиманчик 2-й Лінія 5-та, буд. 3 кв. 74, Київ, 90063",+380 65 680-93-90,vlavrenko@example.net
Ярема,Надія,Ігорівна,female,1996-06-26,Письменник,хутір Косів,"шосе Рівності, буд. 007, Кобеляки, 04876",227 87 40,epetrenko@example.net
Демʼянюк,Вʼячеслав,Васильович,male,1956-02-18,Мистецтвознавець,селище Шепетівка,"проспект Ніжинська, буд. 427 кв. 695, Кальміуське, 25197",+380 48 312-67-65,tereshchenkodanylo@example.org
Гуцуляк,Іван,Геннадійович,male,1980-01-07,Адвокат,хутір Сокаль,"узвіз Пішонівська, буд. 47 кв. 1, Буча, 67841",+380 19 815 44 11,rhavryshkevych@example.org
Мірошниченко,Арсен,Геннадійович,male,1968-10-25,Бізнесмен,село Курахове,"шосе Майстерний, буд. 96, Камінь-Каширський, 36916",+380 45 820 55 25,maksymrudyk@example.net
Ющенко,Олег,Геннадійович,male,1973-02-03,Мінералог,селище Павлоград,"провулок Пляжна, буд. 11 кв. 97, Кременчук, 39548",083-24-75,bmishchenko@example.org
Штокало,Ганна,Олександрівна,female,1959-11-04,Петрограф,хутір Феодосія,"шосе Садова 5-та, буд. 70, Єнакієве, 10282",+380 85 936 58 94,aakulenko@example.com
Єрьоменко,Ярослав,Володимирович,male,1944-09-12,Психолог,хутір Березівка,"площа Мазепи Івана, буд. 073 кв. 715, Курахове, 40050",+380 53 604-31-36,lholyk@example.org
Єщенко,Богдан,Ульянович,male,1961-12-09,Пекар,місто Хмельницький,"проспект Маячний, буд. 99 кв. 5, Світлодарськ, 17279",925-57-94,panteleimondanchenko@example.net
Баран,Мартин,Тарасович,male,1987-06-02,Антрополог,місто Тетіїв,"набережна Кристаловського, буд. 8, Корець, 24080",072 773-38-62,wfastenko@example.com
Гайденко,Василь,Ярославович,male,1992-08-02,Менеджер,селище Козятин,"парк Овідіопольська, буд. 36, Любомль, 22916",272-79-73,zakhar83@example.org
Засенко,Лілія,Ярославівна,female,1962-09-28,Геолог,хутір Отаманівка,"узвіз Бернардацці, буд. 364 кв. 895, Свалява, 04341",017 393-40-25,teodorvernydub@example.org
Габелко,Левко,Сергійович,male,1990-06-15,Флорист,село Куп'янськ,"узвіз Задніпровського, буд. 959, Запоріжжя, 15755",060 289 50 93,hlibsymonenko@example.com
Бабич,Олена,Борисівна,female,2007-06-11,Футболіст,хутір Чугуїв,"набережна Богуна, буд. 836, Христинівка, 31679",738 61 39,ktykha@example.com
Базавлученко,Франц,Петрович,male,1986-12-09,Фермер,селище Ірміно,"шосе Військовий узвіз, буд. 74 кв. 01, Миколаїв, 76020",+380 75 291 90 13,ehohol@example.org
Чабан,Остап,Русланович,male,1968-06-09,Державний службовець,селище Хорол,"шосе Бориса Дерев'янка, буд. 2 кв. 53, Маріуполь, 93180",+380 40 074 83 62,rgalagan@example.org
Макаренко,Орина,Сергіївна,female,1967-03-13,Секретар,село Білопілля,"парк Молодіжна, буд. 0, Вилкове, 61396",232 50 47,vashchenkokostiantyn@example.org
Тимчук,Дан,Євгенович,male,1971-02-19,Інженер,хутір Лутугине,"шосе Лінія 32-га, буд. 8, Дубляни, 67113",+380 34 697-09-82,symonkanivets@example.org
Бакуменко,Лілія,Ярославівна,female,2002-01-06,Професор,місто Добромиль,"провулок Донорська, буд. 68 кв. 700, Старокостянтинів, 47504",+380 (03) 021-10-66,gmamchur@example.net
Швачка,Стефан,Борисович,male,1968-01-19,Патологоанатом,місто Іловайськ,"сквер Лиманчик 2-й Лінія 5-та, буд. 482 кв. 6, Таврійськ, 53391",+380 92 107-55-15,aaron05@example.com
Ґерус,Олесь,Борисович,male,1954-12-26,Акушер,місто Новгород-Сіверський,"площа Чорноморський 6-й, буд. 08, Вижниця, 73937",005 379 36 71,leon14@example.org
Гузь,Климент,Геннадійович,male,1946-06-25,Реставратор,село Антрацит,"набережна Пересипський 2-й, буд. 836 кв. 41, Бориспіль, 13571",+380 22 909-72-82,ckopytko@example.org
Ященко,Оксенія,Русланівна,female,1960-09-24,Гірничий інженер,село Кобеляки,"шосе Тополина, буд. 095, Вовчанськ, 75025",055 754-88-76,iurchenkoolena@example.org
Деркач,Тереза,Миколаївна,female,1943-12-15,Антрополог,хутір Пустомити,"сквер Путьова, буд. 49, Добропілля, 74813",093 473 04 39,rostyslav26@example.org
Бандура,Руслан,Тарасович,male,1958-10-03,Гірничий інженер,місто Новоград-Волинський,"провулок Рульовий, буд. 5 кв. 4, Чоп, 27444",+380 53 359-91-01,violetta81@example.com
Андрейко,Ада,Ярославівна,female,2009-01-02,Акушер,селище Заводське,"шосе Заводська 3-тя, буд. 268, Маріуполь, 87768",+380 40 230-08-06,hkolesnychenko@example.net
Михалюк,Вадим,Володимирович,male,1964-01-01,Мовознавець,село Антрацит,"набережна Якірний, буд. 06, Горохів, 72407",001 085 60 24,esirobaba@example.org
Ребрик,Варвара,Володимирівна,female,1990-03-31,Секретар,селище Селидове,"шосе Строганов міст, буд. 9, Калинівка, 21377",+380 (51) 335-52-68,levko37@example.net
Бабʼяк,Феофан,Миколайович,male,1965-09-14,Історик,село Оріхів,"площа Юннатів 2-й, буд. 1, Новогродівка, 19670",+380 48 520-39-29,havryshkevycheduard@example.net
Бабак,Онисим,Русланович,male,2004-04-15,Хореограф,селище Зимогір'я,"набережна Клинова, буд. 6 кв. 511, Христинівка, 20853",+380 69 855-28-16,maksymshapoval@example.com
Чалий,Адам,Зіновійович,male,1964-12-10,Каскадер,селище Татарбунари,"парк Станційна 3-тя, буд. 5 кв. 034, Дубно, 49961",+380 (03) 539-35-08,ivanenkookhrim@example.com
Цюпа,Аврелій,Борисович,male,1993-01-19,Краєзнавець,селище Мирноград,"набережна Сергія Параджанова, буд. 93, Сарни, 75561",+380 25 348-57-68,fareniukartem@example.com
Іваничук,Михайлина,Леонідівна,female,2003-04-05,Кінорежисер,село Чорноморськ,"площа Василя Стуса, буд. 7 кв. 92, Кременчук, 36482",+380 31 771 35 28,ilchenkodemian@example.org
Ващенко,Омелян,Володимирович,male,1971-03-24,Економіст,село Яворів,"провулок Старокінний, буд. 51, Южне, 22707",+380 42 745-97-10,ihnathavrysh@example.org
Ґерус,Климент,Артемович,male,1953-12-29,Кінорежисер,селище Гола Пристань,"шосе Цесевича, буд. 29 кв. 007, Конотоп, 37645",077 358-24-51,pgoliash@example.com
Фесенко,Богодар,Геннадійович,male,1988-09-16,Ветеринар,село Ялта,"провулок Крижанівський, буд. 154 кв. 9, Кам'янець-Подільський, 91290",093 959 28 39,alevtyn64@example.net
Ребрик,Марія,Ігорівна,female,1988-08-05,Драматург,селище Батурин,"площа Лінія 52-га, буд. 09 кв. 92, Рогатин, 19666",+380 06 771 07 01,havrylo94@example.net
Мазепа,Григорій,Сергійович,male,1942-02-22,Електромонтажник,село Надвірна,"узвіз Хаджибейський 2-й, буд. 8 кв. 50, Чорнобиль, 05500",+380 (47) 770-13-07,asvyrydenko@example.net
Гайдамака,Тарас,Ігоревич,male,1986-04-12,Сантехнік,місто Хуст,"узвіз Естонський, буд. 27 кв. 061, Вуглегірськ, 02782",030 279-56-07,bohdanna27@example.com
Даценко,Єва,Борисівна,female,1985-06-23,Публіцист,село Ровеньки,"набережна Мала Арнаутська, буд. 272 кв. 6, Волноваха, 38389",+380 49 522 48 63,arkhymovychemiliia@example.com
Данилюк,Зорян,Васильович,male,1953-05-14,Астронавт,село Глобине,"узвіз Шкільний, буд. 989, Красногорівка, 63997",+380 49 826 01 65,demyd62@example.org
Токар,Демид,Зіновійович,male,1950-09-20,Електротехнік,селище Хотин,"шосе П'ята, буд. 89, Черкаси, 22930",033 117 26 89,mvasylevych@example.org
Вернигора,Григорій,Ульянович,male,1955-09-08,Юрист,селище Маріуполь,"провулок Лиманчик 2-й Лінія 3-тя, буд. 8, Біла Церква, 91802",667-22-77,karpenkoirena@example.com
Фоменко,Аніта,Євгенівна,female,2008-06-18,Кур'єр,село Зугрес,"вулиця Саймона Літмана, буд. 56 кв. 47, Снігурівка, 43614",027 990-33-67,furskyrylo@example.net
Свириденко,Віктор,Євгенович,male,2009-08-15,Епідеміолог,селище Дубно,"вулиця Гоголя, буд. 931 кв. 5, Моршин, 29090",+380 67 957-07-49,antoniaremko@example.net
Пустовіт,Анжела,Василівна,female,2003-12-15,Золотар,хутір Суми,"провулок Чорноморський 13-й, буд. 038 кв. 574, Куп'янськ, 52853",083 941-25-70,saienkovalerii@example.org
Шаповал,Тереза,Федорівна,female,1950-12-17,Локсмайстер,село Татарбунари,"вулиця Задніпровського, буд. 7, Сніжне, 49474",+380 53 201-34-70,anastasiia29@example.net
Бабенко,Прохір,Геннадійович,male,1996-07-04,Архітектор,хутір Рені,"шосе Родоканакі, буд. 0 кв. 43, Конотоп, 20025",025 711-41-41,iustyna77@example.org
Прокопович,Микита,Сергійович,male,1976-05-12,Соціолог,місто Почаїв,"шосе Нескучна, буд. 358 кв. 03, Носівка, 67244",019 861 28 67,barabashvalerii@example.com
Шинкаренко,Микита,Ігоревич,male,1987-05-25,Психолог,село Чорноморськ,"узвіз Усатівська, буд. 762 кв. 95, Львів, 52414",+380 15 886-17-62,iatsenkoorysia@example.org
Захарченко,Аліна,Леонідівна,female,1983-11-20,Футболіст,село Копичинці,"проспект 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 278 кв. 62, Радивилів, 35425",+380 61 092 15 32,deisunazar@example.net
Тимченко,Лариса,Анатоліївна,female,2002-03-29,Кінорежисер,хутір Глиняни,"шосе Флотський 3-й, буд. 035 кв. 4, Миргород, 43637",018 399 96 63,bhydenkohalyna@example.org
Бабариченко,Анастасія,Олександрівна,female,1993-12-30,Акушер,місто Ізмаїл,"проспект Аркадіївський, буд. 789 кв. 804, Ямпіль, 25109",001 491-42-20,zorian42@example.org
Конопленко,Зиновій,Ігоревич,male,1955-05-17,Геолог,село Сміла,"проспект Обліпихова, буд. 38 кв. 53, Харцизьк, 85818",+380 34 729-87-99,frants53@example.org
